# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2024-04-01T00:00:00.0
# Date end (ISO 8601): 2025-04-01T00:00:00.0
# Latitude (positive North, ISO 19115): 27.8974
# Longitude (positive East, ISO 19115): 78.0880
# Altitude (m): 191.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-04-25
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI/DNI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2024-07-09T20:00:00.0/2024-07-09T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-09T21:00:00.0/2024-07-09T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-09T22:00:00.0/2024-07-09T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-09T23:00:00.0/2024-07-10T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T00:00:00.0/2024-07-10T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T01:00:00.0/2024-07-10T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T02:00:00.0/2024-07-10T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T03:00:00.0/2024-07-10T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T04:00:00.0/2024-07-10T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T05:00:00.0/2024-07-10T06:00:00.0;96.3767;24.9710;0.7864;24.1846;5.7888
2024-07-10T06:00:00.0/2024-07-10T07:00:00.0;373.0658;141.8647;16.0459;125.8189;52.5661
2024-07-10T07:00:00.0/2024-07-10T08:00:00.0;644.0911;316.7568;61.8670;254.8898;124.0551
2024-07-10T08:00:00.0/2024-07-10T09:00:00.0;887.1057;508.6227;134.2729;374.3497;197.8096
2024-07-10T09:00:00.0/2024-07-10T10:00:00.0;1085.5403;682.7599;220.3542;462.4057;266.5983
2024-07-10T10:00:00.0/2024-07-10T11:00:00.0;1225.8623;811.7152;300.3015;511.4137;322.3639
2024-07-10T11:00:00.0/2024-07-10T12:00:00.0;1298.4984;879.4198;346.3547;533.0651;351.3722
2024-07-10T12:00:00.0/2024-07-10T13:00:00.0;1298.4885;878.8276;341.7290;537.0986;346.6625
2024-07-10T13:00:00.0/2024-07-10T14:00:00.0;1225.8236;813.0526;299.6752;513.3774;321.7982
2024-07-10T14:00:00.0/2024-07-10T15:00:00.0;1085.4470;688.6153;231.2773;457.3380;280.0726
2024-07-10T15:00:00.0/2024-07-10T16:00:00.0;886.9182;518.9179;150.8918;368.0261;222.6985
2024-07-10T16:00:00.0/2024-07-10T17:00:00.0;643.7605;325.8654;72.9089;252.9565;146.3859
2024-07-10T17:00:00.0/2024-07-10T18:00:00.0;372.5396;146.7934;19.9300;126.8634;65.8511
2024-07-10T18:00:00.0/2024-07-10T19:00:00.0;95.7570;25.8556;1.1191;24.7366;8.3684
2024-07-10T19:00:00.0/2024-07-10T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T20:00:00.0/2024-07-10T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T21:00:00.0/2024-07-10T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T22:00:00.0/2024-07-10T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-10T23:00:00.0/2024-07-11T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T00:00:00.0/2024-07-11T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T01:00:00.0/2024-07-11T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T02:00:00.0/2024-07-11T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T03:00:00.0/2024-07-11T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T04:00:00.0/2024-07-11T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T05:00:00.0/2024-07-11T06:00:00.0;95.2307;27.4676;1.6129;25.8546;12.0631
2024-07-11T06:00:00.0/2024-07-11T07:00:00.0;371.9061;163.4494;35.8708;127.5786;117.3236
2024-07-11T07:00:00.0/2024-07-11T08:00:00.0;643.1997;366.0847;140.3762;225.7085;282.0046
2024-07-11T08:00:00.0/2024-07-11T09:00:00.0;886.4557;570.0629;274.5470;295.5159;406.4792
2024-07-11T09:00:00.0/2024-07-11T10:00:00.0;1085.0880;736.6325;380.6459;355.9866;461.6280
2024-07-11T10:00:00.0/2024-07-11T11:00:00.0;1225.5500;854.9672;454.6328;400.3344;488.6107
2024-07-11T11:00:00.0/2024-07-11T12:00:00.0;1298.2589;915.6664;490.8614;424.8051;498.1017
2024-07-11T12:00:00.0/2024-07-11T13:00:00.0;1298.2485;913.9164;487.5750;426.3413;494.7552
2024-07-11T13:00:00.0/2024-07-11T14:00:00.0;1225.5098;847.9313;437.7382;410.1931;470.3180
2024-07-11T14:00:00.0/2024-07-11T15:00:00.0;1084.9906;724.0720;349.0191;375.0529;423.0118
2024-07-11T15:00:00.0/2024-07-11T16:00:00.0;886.2595;553.4566;236.0130;317.4436;348.9573
2024-07-11T16:00:00.0/2024-07-11T17:00:00.0;642.8533;353.6444;121.1593;232.4850;244.2872
2024-07-11T17:00:00.0/2024-07-11T18:00:00.0;371.3545;158.7997;34.1116;124.6880;112.2369
2024-07-11T18:00:00.0/2024-07-11T19:00:00.0;94.5755;26.5746;1.6717;24.9029;12.5764
2024-07-11T19:00:00.0/2024-07-11T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T20:00:00.0/2024-07-11T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T21:00:00.0/2024-07-11T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T22:00:00.0/2024-07-11T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-11T23:00:00.0/2024-07-12T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T00:00:00.0/2024-07-12T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T01:00:00.0/2024-07-12T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T02:00:00.0/2024-07-12T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T03:00:00.0/2024-07-12T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T04:00:00.0/2024-07-12T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T05:00:00.0/2024-07-12T06:00:00.0;93.9899;25.2713;1.2492;24.0221;9.4585
2024-07-12T06:00:00.0/2024-07-12T07:00:00.0;370.6913;148.2277;24.1575;124.0702;79.7690
2024-07-12T07:00:00.0/2024-07-12T08:00:00.0;642.2666;330.9828;89.1938;241.7890;179.6816
2024-07-12T08:00:00.0/2024-07-12T09:00:00.0;885.7759;524.0809;179.9937;344.0872;266.1389
2024-07-12T09:00:00.0/2024-07-12T10:00:00.0;1084.6157;692.0375;270.8959;421.1416;328.4136
2024-07-12T10:00:00.0/2024-07-12T11:00:00.0;1225.2249;813.4095;340.5022;472.9073;365.9655
2024-07-12T11:00:00.0/2024-07-12T12:00:00.0;1298.0098;876.9005;380.0967;496.8037;385.7794
2024-07-12T12:00:00.0/2024-07-12T13:00:00.0;1297.9989;877.0970;385.8779;491.2191;391.6790
2024-07-12T13:00:00.0/2024-07-12T14:00:00.0;1225.1827;812.7296;350.0363;462.6932;376.2295
2024-07-12T14:00:00.0/2024-07-12T15:00:00.0;1084.5139;690.0939;277.8985;412.1954;336.9155
2024-07-12T15:00:00.0/2024-07-12T16:00:00.0;885.5709;521.4471;183.3123;338.1348;271.0576
2024-07-12T16:00:00.0/2024-07-12T17:00:00.0;641.9045;327.7416;89.0903;238.6513;179.3825
2024-07-12T17:00:00.0/2024-07-12T18:00:00.0;370.1144;145.4110;23.0864;122.3246;76.0637
2024-07-12T18:00:00.0/2024-07-12T19:00:00.0;93.3439;24.5096;1.1219;23.3876;8.5209
2024-07-12T19:00:00.0/2024-07-12T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T20:00:00.0/2024-07-12T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T21:00:00.0/2024-07-12T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T22:00:00.0/2024-07-12T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-12T23:00:00.0/2024-07-13T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T00:00:00.0/2024-07-13T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T01:00:00.0/2024-07-13T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T02:00:00.0/2024-07-13T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T03:00:00.0/2024-07-13T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T04:00:00.0/2024-07-13T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T05:00:00.0/2024-07-13T06:00:00.0;92.7509;24.3853;1.0114;23.3739;7.6009
2024-07-13T06:00:00.0/2024-07-13T07:00:00.0;369.4216;149.0720;24.4787;124.5933;80.1156
2024-07-13T07:00:00.0/2024-07-13T08:00:00.0;641.2916;348.0602;118.7766;229.2837;237.6804
2024-07-13T08:00:00.0/2024-07-13T09:00:00.0;885.0660;558.2310;265.3083;292.9227;392.6893
2024-07-13T09:00:00.0/2024-07-13T10:00:00.0;1084.1228;732.5737;398.1795;334.3943;482.9590
2024-07-13T10:00:00.0/2024-07-13T11:00:00.0;1224.8856;858.7280;506.0127;352.7153;543.9774
2024-07-13T11:00:00.0/2024-07-13T12:00:00.0;1297.7500;924.9862;566.4048;358.5814;575.0646
2024-07-13T12:00:00.0/2024-07-13T13:00:00.0;1297.7388;925.6910;567.3915;358.2996;576.0795
2024-07-13T13:00:00.0/2024-07-13T14:00:00.0;1224.8417;862.3306;517.1588;345.1718;556.1213
2024-07-13T14:00:00.0/2024-07-13T15:00:00.0;1084.0165;740.1240;422.9458;317.1782;513.3750
2024-07-13T15:00:00.0/2024-07-13T16:00:00.0;884.8520;569.7191;298.0797;271.6394;441.9954
2024-07-13T16:00:00.0/2024-07-13T17:00:00.0;640.9136;369.0669;163.1550;205.9118;330.8397
2024-07-13T17:00:00.0/2024-07-13T18:00:00.0;368.8194;168.8232;50.9253;117.8979;170.4609
2024-07-13T18:00:00.0/2024-07-13T19:00:00.0;92.0626;27.7414;2.9307;24.8107;22.7117
2024-07-13T19:00:00.0/2024-07-13T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T20:00:00.0/2024-07-13T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T21:00:00.0/2024-07-13T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T22:00:00.0/2024-07-13T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-13T23:00:00.0/2024-07-14T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T00:00:00.0/2024-07-14T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T01:00:00.0/2024-07-14T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T02:00:00.0/2024-07-14T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T03:00:00.0/2024-07-14T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T04:00:00.0/2024-07-14T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T05:00:00.0/2024-07-14T06:00:00.0;91.4176;26.5941;2.3705;24.2235;18.4072
2024-07-14T06:00:00.0/2024-07-14T07:00:00.0;368.0970;161.4594;42.1655;119.2938;141.1453
2024-07-14T07:00:00.0/2024-07-14T08:00:00.0;640.2745;356.8835;140.8530;216.0304;285.5031
2024-07-14T08:00:00.0/2024-07-14T09:00:00.0;884.3254;556.6412;266.1667;290.4745;394.7069
2024-07-14T09:00:00.0/2024-07-14T10:00:00.0;1083.6084;727.3223;385.8872;341.4352;468.4976
2024-07-14T10:00:00.0/2024-07-14T11:00:00.0;1224.5314;849.9788;477.4510;372.5278;513.5643
2024-07-14T11:00:00.0/2024-07-14T12:00:00.0;1297.4788;914.2933;527.9255;386.3679;536.1530
2024-07-14T12:00:00.0/2024-07-14T13:00:00.0;1297.4669;915.2559;530.9896;384.2663;539.2869
2024-07-14T13:00:00.0/2024-07-14T14:00:00.0;1224.4855;851.9770;484.5865;367.3905;521.2947
2024-07-14T14:00:00.0/2024-07-14T15:00:00.0;1083.4974;729.4280;392.7693;336.6588;476.8793
2024-07-14T15:00:00.0/2024-07-14T16:00:00.0;884.1022;558.2003;269.3220;288.8783;399.4417
2024-07-14T16:00:00.0/2024-07-14T17:00:00.0;639.8806;357.7210;141.4323;216.2887;286.7753
2024-07-14T17:00:00.0/2024-07-14T18:00:00.0;367.4698;161.6021;42.1403;119.4618;141.3585
2024-07-14T18:00:00.0/2024-07-14T19:00:00.0;90.7043;26.4259;2.3807;24.0453;18.5420
2024-07-14T19:00:00.0/2024-07-14T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T20:00:00.0/2024-07-14T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T21:00:00.0/2024-07-14T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T22:00:00.0/2024-07-14T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-14T23:00:00.0/2024-07-15T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T00:00:00.0/2024-07-15T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T01:00:00.0/2024-07-15T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T02:00:00.0/2024-07-15T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T03:00:00.0/2024-07-15T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T04:00:00.0/2024-07-15T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T05:00:00.0/2024-07-15T06:00:00.0;90.0921;26.3301;2.1447;24.1854;16.7920
2024-07-15T06:00:00.0/2024-07-15T07:00:00.0;366.7179;159.1156;35.4786;123.6371;119.6900
2024-07-15T07:00:00.0/2024-07-15T08:00:00.0;639.2152;349.9531;113.8828;236.0704;231.4527
2024-07-15T08:00:00.0/2024-07-15T09:00:00.0;883.5535;544.0913;205.8882;338.2031;305.9908
2024-07-15T09:00:00.0/2024-07-15T10:00:00.0;1083.0717;707.4208;282.1322;425.2885;343.0130
2024-07-15T10:00:00.0/2024-07-15T11:00:00.0;1224.1613;823.1583;326.4052;496.7531;351.4290
2024-07-15T11:00:00.0/2024-07-15T12:00:00.0;1297.1948;883.5303;346.3551;537.1752;351.8594
2024-07-15T12:00:00.0/2024-07-15T13:00:00.0;1297.1824;884.0970;348.9884;535.1086;354.5498
2024-07-15T13:00:00.0/2024-07-15T14:00:00.0;1224.1132;819.1729;313.3375;505.8353;337.1439
2024-07-15T14:00:00.0/2024-07-15T15:00:00.0;1082.9559;698.6370;255.1910;443.4460;310.2712
2024-07-15T15:00:00.0/2024-07-15T16:00:00.0;883.3210;536.4299;185.0768;351.3531;275.0650
2024-07-15T16:00:00.0/2024-07-15T17:00:00.0;638.8052;345.8429;101.6390;244.2040;206.7246
2024-07-15T17:00:00.0/2024-07-15T18:00:00.0;366.0655;156.9774;30.5620;126.4154;102.0909
2024-07-15T18:00:00.0/2024-07-15T19:00:00.0;89.3485;25.5038;1.4658;24.0381;11.2938
2024-07-15T19:00:00.0/2024-07-15T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T20:00:00.0/2024-07-15T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T21:00:00.0/2024-07-15T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T22:00:00.0/2024-07-15T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-15T23:00:00.0/2024-07-16T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T00:00:00.0/2024-07-16T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T01:00:00.0/2024-07-16T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T02:00:00.0/2024-07-16T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T03:00:00.0/2024-07-16T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T04:00:00.0/2024-07-16T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T05:00:00.0/2024-07-16T06:00:00.0;88.6750;25.3579;1.4122;23.9457;10.9042
2024-07-16T06:00:00.0/2024-07-16T07:00:00.0;365.2842;159.5779;33.7444;125.8335;112.0048
2024-07-16T07:00:00.0/2024-07-16T08:00:00.0;638.1133;362.7504;135.1975;227.5529;273.7424
2024-07-16T08:00:00.0/2024-07-16T09:00:00.0;882.7498;571.6801;276.7668;294.9133;410.9342
2024-07-16T09:00:00.0/2024-07-16T10:00:00.0;1082.5118;747.9695;413.4344;334.5352;502.3787
2024-07-16T10:00:00.0/2024-07-16T11:00:00.0;1223.7742;875.0546;524.8511;350.2035;564.9148
2024-07-16T11:00:00.0/2024-07-16T12:00:00.0;1296.8970;942.2779;592.0178;350.2601;601.6250
2024-07-16T12:00:00.0/2024-07-16T13:00:00.0;1296.8840;944.6641;604.5831;340.0810;614.4662
2024-07-16T13:00:00.0/2024-07-16T14:00:00.0;1223.7239;883.0507;563.9497;319.1010;607.2986
2024-07-16T14:00:00.0/2024-07-16T15:00:00.0;1082.3912;762.1483;471.9768;290.1714;574.0636
2024-07-16T15:00:00.0/2024-07-16T16:00:00.0;882.5078;591.5037;339.9395;251.5643;505.8691
2024-07-16T16:00:00.0/2024-07-16T17:00:00.0;637.6873;388.0793;193.7119;194.3673;395.7092
2024-07-16T17:00:00.0/2024-07-16T18:00:00.0;364.6068;179.4163;63.9597;115.4566;217.1056
2024-07-16T18:00:00.0/2024-07-16T19:00:00.0;87.9463;28.4434;3.8254;24.6180;30.4341
2024-07-16T19:00:00.0/2024-07-16T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T20:00:00.0/2024-07-16T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T21:00:00.0/2024-07-16T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T22:00:00.0/2024-07-16T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-16T23:00:00.0/2024-07-17T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T00:00:00.0/2024-07-17T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T01:00:00.0/2024-07-17T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T02:00:00.0/2024-07-17T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T03:00:00.0/2024-07-17T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T04:00:00.0/2024-07-17T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T05:00:00.0/2024-07-17T06:00:00.0;87.2699;28.2676;3.6790;24.5886;29.3847
2024-07-17T06:00:00.0/2024-07-17T07:00:00.0;363.7962;178.5289;61.6460;116.8830;209.8784
2024-07-17T07:00:00.0/2024-07-17T08:00:00.0;636.9687;388.0388;192.9613;195.0775;394.0063
2024-07-17T08:00:00.0/2024-07-17T09:00:00.0;881.9138;591.2159;336.9339;254.2821;502.3181
2024-07-17T09:00:00.0/2024-07-17T10:00:00.0;1081.9282;757.9677;449.1203;308.8473;546.8186
2024-07-17T10:00:00.0/2024-07-17T11:00:00.0;1223.3691;876.2950;521.8730;354.4220;562.3065
2024-07-17T11:00:00.0/2024-07-17T12:00:00.0;1296.5844;939.5348;568.4420;371.0928;577.8413
2024-07-17T12:00:00.0/2024-07-17T13:00:00.0;1296.5707;943.7839;596.4092;347.3747;606.4178
2024-07-17T13:00:00.0/2024-07-17T14:00:00.0;1223.3165;884.0681;571.4753;312.5927;615.8233
2024-07-17T14:00:00.0/2024-07-17T15:00:00.0;1081.8024;763.5903;484.0279;279.5624;588.8985
2024-07-17T15:00:00.0/2024-07-17T16:00:00.0;881.6622;590.5069;338.1122;252.3947;503.3657
2024-07-17T16:00:00.0/2024-07-17T17:00:00.0;636.5266;384.3557;185.1261;199.2295;378.2024
2024-07-17T17:00:00.0/2024-07-17T18:00:00.0;363.0939;175.9941;58.8914;117.1027;200.8497
2024-07-17T18:00:00.0/2024-07-17T19:00:00.0;86.4675;27.7023;3.4959;24.2064;28.0059
2024-07-17T19:00:00.0/2024-07-17T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T20:00:00.0/2024-07-17T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T21:00:00.0/2024-07-17T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T22:00:00.0/2024-07-17T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-17T23:00:00.0/2024-07-18T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T00:00:00.0/2024-07-18T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T01:00:00.0/2024-07-18T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T02:00:00.0/2024-07-18T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T03:00:00.0/2024-07-18T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T04:00:00.0/2024-07-18T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T05:00:00.0/2024-07-18T06:00:00.0;85.7774;27.3475;3.3894;23.9580;27.2935
2024-07-18T06:00:00.0/2024-07-18T07:00:00.0;362.2540;173.5996;56.1844;117.4153;192.3250
2024-07-18T07:00:00.0/2024-07-18T08:00:00.0;635.7811;378.2670;172.3144;205.9526;352.7725
2024-07-18T08:00:00.0/2024-07-18T09:00:00.0;881.0447;580.8910;307.0878;273.8032;457.8009
2024-07-18T09:00:00.0/2024-07-18T10:00:00.0;1081.3197;750.9231;427.1589;323.7642;520.1854
2024-07-18T10:00:00.0/2024-07-18T11:00:00.0;1222.9451;872.0469;513.4515;358.5955;553.3665
2024-07-18T11:00:00.0/2024-07-18T12:00:00.0;1296.2556;933.3835;548.5111;384.8724;557.9129
2024-07-18T12:00:00.0/2024-07-18T13:00:00.0;1296.2412;929.3591;524.7521;404.6071;533.6417
2024-07-18T13:00:00.0/2024-07-18T14:00:00.0;1222.8900;860.3705;453.2440;407.1265;488.2256
2024-07-18T14:00:00.0/2024-07-18T15:00:00.0;1081.1886;736.5178;366.9594;369.5585;447.2826
2024-07-18T15:00:00.0/2024-07-18T16:00:00.0;880.7834;571.7804;280.6710;291.1094;419.1638
2024-07-18T16:00:00.0/2024-07-18T17:00:00.0;635.3227;375.9594;170.1580;205.8015;349.7280
2024-07-18T17:00:00.0/2024-07-18T18:00:00.0;361.5268;173.6481;58.5354;115.1127;200.3333
2024-07-18T18:00:00.0/2024-07-18T19:00:00.0;85.0014;26.8064;3.3717;23.4348;27.2215
2024-07-18T19:00:00.0/2024-07-18T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T20:00:00.0/2024-07-18T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T21:00:00.0/2024-07-18T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T22:00:00.0/2024-07-18T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-18T23:00:00.0/2024-07-19T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-19T00:00:00.0/2024-07-19T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-19T01:00:00.0/2024-07-19T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-19T02:00:00.0/2024-07-19T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-19T03:00:00.0/2024-07-19T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-19T04:00:00.0/2024-07-19T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-07-19T05:00:00.0/2024-07-19T06:00:00.0;84.2999;23.1152;1.0138;22.1014;7.9546
2024-07-19T06:00:00.0/2024-07-19T07:00:00.0;360.6578;150.0272;25.1871;124.8401;84.6527
2024-07-19T07:00:00.0/2024-07-19T08:00:00.0;634.5504;346.2256;104.2466;241.9791;211.9460
2024-07-19T08:00:00.0/2024-07-19T09:00:00.0;880.1422;554.7758;230.6820;324.0938;343.1173
2024-07-19T09:00:00.0/2024-07-19T10:00:00.0;1080.6855;733.1279;364.0732;369.0547;443.0705
2024-07-19T10:00:00.0/2024-07-19T11:00:00.0;1222.5009;861.9120;477.8956;384.0164;515.0107
2024-07-19T11:00:00.0/2024-07-19T12:00:00.0;1295.9094;929.4897;545.7095;383.7802;555.2131
2024-07-19T12:00:00.0/2024-07-19T13:00:00.0;1295.8944;930.7455;553.3548;377.3906;563.0409
2024-07-19T13:00:00.0/2024-07-19T14:00:00.0;1222.4431;867.4573;510.1966;357.2607;550.1505
